step_index,time_years,steps_per_year_model,call_live,put_live,call_coupon_rate_pct,put_coupon_rate_pct,call_model_daily_roll_pct,put_model_daily_roll_pct,call_completion_time_years,put_completion_time_years,call_strike_completion_per_share_usd,call_strike_pv_per_share_usd,put_strike_completion_per_share_usd,put_strike_pv_per_share_usd
122,0.484127,252,0,0,2.75,2.75,0.01076592,0.01076592,0.484127,0.484127,584.82293,584.82293,584.82293,584.82293
123,0.488095,252,0,0,2.75,2.75,0.01076592,0.01076592,0.488095,0.488095,584.885891,584.885891,584.885891,584.885891
124,0.492063,252,0,0,2.75,2.75,0.01076592,0.01076592,0.492063,0.492063,584.94886,584.94886,584.94886,584.94886
125,0.496032,252,0,0,2.75,2.75,0.01076592,0.01076592,0.496032,0.496032,585.011835,585.011835,585.011835,585.011835
126,0.5,252,0,0,2.75,2.75,0.01076592,0.01076592,0.5,0.5,585.074817,585.074817,585.074817,585.074817
127,0.503968,252,0,0,2.75,2.75,0.01076592,0.01076592,0.503968,0.503968,585.137805,585.137805,585.137805,585.137805
128,0.507937,252,0,0,2.75,2.75,0.01076592,0.01076592,0.507937,0.507937,585.200801,585.200801,585.200801,585.200801
129,0.511905,252,0,0,2.75,2.75,0.01076592,0.01076592,0.511905,0.511905,585.263803,585.263803,585.263803,585.263803
130,0.515873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.515873,0.515873,585.326812,585.326812,585.326812,585.326812
131,0.519841,252,0,0,2.75,2.75,0.01076592,0.01076592,0.519841,0.519841,585.389828,585.389828,585.389828,585.389828
132,0.52381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.52381,0.52381,585.452851,585.452851,585.452851,585.452851
133,0.527778,252,0,0,2.75,2.75,0.01076592,0.01076592,0.527778,0.527778,585.51588,585.51588,585.51588,585.51588
134,0.531746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.531746,0.531746,585.578916,585.578916,585.578916,585.578916
135,0.535714,252,0,0,2.75,2.75,0.01076592,0.01076592,0.535714,0.535714,585.641959,585.641959,585.641959,585.641959
136,0.539683,252,0,0,2.75,2.75,0.01076592,0.01076592,0.539683,0.539683,585.705009,585.705009,585.705009,585.705009
137,0.543651,252,0,0,2.75,2.75,0.01076592,0.01076592,0.543651,0.543651,585.768065,585.768065,585.768065,585.768065
138,0.547619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.547619,0.547619,585.831129,585.831129,585.831129,585.831129
139,0.551587,252,0,0,2.75,2.75,0.01076592,0.01076592,0.551587,0.551587,585.894199,585.894199,585.894199,585.894199
140,0.555556,252,0,0,2.75,2.75,0.01076592,0.01076592,0.555556,0.555556,585.957276,585.957276,585.957276,585.957276
141,0.559524,252,0,0,2.75,2.75,0.01076592,0.01076592,0.559524,0.559524,586.02036,586.02036,586.02036,586.02036
142,0.563492,252,0,0,2.75,2.75,0.01076592,0.01076592,0.563492,0.563492,586.08345,586.08345,586.08345,586.08345
143,0.56746,252,0,0,2.75,2.75,0.01076592,0.01076592,0.56746,0.56746,586.146547,586.146547,586.146547,586.146547
144,0.571429,252,0,0,2.75,2.75,0.01076592,0.01076592,0.571429,0.571429,586.209651,586.209651,586.209651,586.209651
145,0.575397,252,0,0,2.75,2.75,0.01076592,0.01076592,0.575397,0.575397,586.272762,586.272762,586.272762,586.272762
146,0.579365,252,0,0,2.75,2.75,0.01076592,0.01076592,0.579365,0.579365,586.33588,586.33588,586.33588,586.33588
147,0.583333,252,0,0,2.75,2.75,0.01076592,0.01076592,0.583333,0.583333,586.399005,586.399005,586.399005,586.399005
148,0.587302,252,0,0,2.75,2.75,0.01076592,0.01076592,0.587302,0.587302,586.462136,586.462136,586.462136,586.462136
149,0.59127,252,0,0,2.75,2.75,0.01076592,0.01076592,0.59127,0.59127,586.525274,586.525274,586.525274,586.525274
150,0.595238,252,0,0,2.75,2.75,0.01076592,0.01076592,0.595238,0.595238,586.588419,586.588419,586.588419,586.588419
151,0.599206,252,0,0,2.75,2.75,0.01076592,0.01076592,0.599206,0.599206,586.65157,586.65157,586.65157,586.65157
152,0.603175,252,0,0,2.75,2.75,0.01076592,0.01076592,0.603175,0.603175,586.714729,586.714729,586.714729,586.714729
153,0.607143,252,0,0,2.75,2.75,0.01076592,0.01076592,0.607143,0.607143,586.777894,586.777894,586.777894,586.777894
154,0.611111,252,0,0,2.75,2.75,0.01076592,0.01076592,0.611111,0.611111,586.841066,586.841066,586.841066,586.841066
155,0.615079,252,0,0,2.75,2.75,0.01076592,0.01076592,0.615079,0.615079,586.904245,586.904245,586.904245,586.904245
156,0.619048,252,0,0,2.75,2.75,0.01076592,0.01076592,0.619048,0.619048,586.967431,586.967431,586.967431,586.967431
157,0.623016,252,0,0,2.75,2.75,0.01076592,0.01076592,0.623016,0.623016,587.030623,587.030623,587.030623,587.030623
158,0.626984,252,0,0,2.75,2.75,0.01076592,0.01076592,0.626984,0.626984,587.093822,587.093822,587.093822,587.093822
159,0.630952,252,0,0,2.75,2.75,0.01076592,0.01076592,0.630952,0.630952,587.157028,587.157028,587.157028,587.157028
160,0.634921,252,0,0,2.75,2.75,0.01076592,0.01076592,0.634921,0.634921,587.220241,587.220241,587.220241,587.220241
161,0.638889,252,0,0,2.75,2.75,0.01076592,0.01076592,0.638889,0.638889,587.283461,587.283461,587.283461,587.283461
162,0.642857,252,0,0,2.75,2.75,0.01076592,0.01076592,0.642857,0.642857,587.346688,587.346688,587.346688,587.346688
163,0.646825,252,0,0,2.75,2.75,0.01076592,0.01076592,0.646825,0.646825,587.409921,587.409921,587.409921,587.409921
164,0.650794,252,0,0,2.75,2.75,0.01076592,0.01076592,0.650794,0.650794,587.473161,587.473161,587.473161,587.473161
165,0.654762,252,0,0,2.75,2.75,0.01076592,0.01076592,0.654762,0.654762,587.536408,587.536408,587.536408,587.536408
166,0.65873,252,0,0,2.75,2.75,0.01076592,0.01076592,0.65873,0.65873,587.599662,587.599662,587.599662,587.599662
167,0.662698,252,0,0,2.75,2.75,0.01076592,0.01076592,0.662698,0.662698,587.662922,587.662922,587.662922,587.662922
168,0.666667,252,0,0,2.75,2.75,0.01076592,0.01076592,0.666667,0.666667,587.726189,587.726189,587.726189,587.726189
169,0.670635,252,0,0,2.75,2.75,0.01076592,0.01076592,0.670635,0.670635,587.789464,587.789464,587.789464,587.789464
170,0.674603,252,0,0,2.75,2.75,0.01076592,0.01076592,0.674603,0.674603,587.852745,587.852745,587.852745,587.852745
171,0.678571,252,0,0,2.75,2.75,0.01076592,0.01076592,0.678571,0.678571,587.916032,587.916032,587.916032,587.916032
172,0.68254,252,0,0,2.75,2.75,0.01076592,0.01076592,0.68254,0.68254,587.979327,587.979327,587.979327,587.979327
173,0.686508,252,0,0,2.75,2.75,0.01076592,0.01076592,0.686508,0.686508,588.042628,588.042628,588.042628,588.042628
174,0.690476,252,0,0,2.75,2.75,0.01076592,0.01076592,0.690476,0.690476,588.105937,588.105937,588.105937,588.105937
175,0.694444,252,0,0,2.75,2.75,0.01076592,0.01076592,0.694444,0.694444,588.169252,588.169252,588.169252,588.169252
176,0.698413,252,0,0,2.75,2.75,0.01076592,0.01076592,0.698413,0.698413,588.232573,588.232573,588.232573,588.232573
177,0.702381,252,0,0,2.75,2.75,0.01076592,0.01076592,0.702381,0.702381,588.295902,588.295902,588.295902,588.295902
178,0.706349,252,0,0,2.75,2.75,0.01076592,0.01076592,0.706349,0.706349,588.359238,588.359238,588.359238,588.359238
179,0.710317,252,0,0,2.75,2.75,0.01076592,0.01076592,0.710317,0.710317,588.42258,588.42258,588.42258,588.42258
180,0.714286,252,0,0,2.75,2.75,0.01076592,0.01076592,0.714286,0.714286,588.485929,588.485929,588.485929,588.485929
181,0.718254,252,0,0,2.75,2.75,0.01076592,0.01076592,0.718254,0.718254,588.549285,588.549285,588.549285,588.549285
182,0.722222,252,0,0,2.75,2.75,0.01076592,0.01076592,0.722222,0.722222,588.612648,588.612648,588.612648,588.612648
183,0.72619,252,0,0,2.75,2.75,0.01076592,0.01076592,0.72619,0.72619,588.676017,588.676017,588.676017,588.676017
184,0.730159,252,0,0,2.75,2.75,0.01076592,0.01076592,0.730159,0.730159,588.739394,588.739394,588.739394,588.739394
185,0.734127,252,0,0,2.75,2.75,0.01076592,0.01076592,0.734127,0.734127,588.802777,588.802777,588.802777,588.802777
186,0.738095,252,0,0,2.75,2.75,0.01076592,0.01076592,0.738095,0.738095,588.866167,588.866167,588.866167,588.866167
